Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,CountToAppend,Mean,Error,StdDev,Ratio,RatioSD,Rank,Gen 0,Gen 1,Gen 2,Allocated
StringConcatPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,7,"1,826.3 ns",19.38 ns,18.13 ns,1.00,0.02,1,3.9291,0.0000,0.0000,644 B
StringFormatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,7,"6,050.1 ns",42.52 ns,37.69 ns,3.32,0.05,2,10.6354,0.0000,0.0000,1744 B
StringInterpolationPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,7,"6,509.1 ns",39.87 ns,37.29 ns,3.57,0.04,3,10.7498,0.0000,0.0000,1764 B
StringBuilderPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,7,"7,322.9 ns",32.92 ns,30.80 ns,4.02,0.04,4,12.3749,0.0000,0.0000,2028 B
StringConcatPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"2,003.4 ns",10.46 ns,9.27 ns,0.99,0.01,1,4.3831,0.0000,0.0000,720 B
StringInterpolationPatternAllStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"2,023.8 ns",13.23 ns,11.73 ns,1.00,0.01,1,4.3831,0.0000,0.0000,720 B
StringConcatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"2,026.0 ns",17.44 ns,16.31 ns,1.00,0.00,1,4.3831,0.0000,0.0000,720 B
StringInterpolationPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"7,055.6 ns",61.32 ns,54.36 ns,3.48,0.04,2,11.7264,0.0000,0.0000,1924 B
StringFormatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"7,185.5 ns",52.38 ns,48.99 ns,3.55,0.03,3,11.6272,0.0000,0.0000,1904 B
StringBuilderPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,"8,172.0 ns",58.30 ns,54.53 ns,4.03,0.05,4,12.8174,0.0000,0.0000,2104 B
